company,Sector,Sub-Sector,Country HQ,Region HQ
Aam Holdings,Consumer Discretionary,Automobiles & Components,USA Midwest,North America
Alfa S.A.B,Industrials,Capital Goods,Mexico,Latin America
Alia- The Royal Jordanian Airlines Plc.,Industrials,Transportation,Jordan,MEA
Almarai - Joint Stock Company,Consumer Staples,"Food, Beverage & Tobacco",Saudi Arabia,MEA
Aluminium Bahrain,Materials,Metals and Mining,Bahrain,MEA
Amc Networks Inc.,Communication Services,Media and Entertainment,USA New York,North America
Americana Group,Consumer Discretionary,Consumer Services,Kuwait,MEA
Asgn Incorporated,Industrials,Commercial & Professional Services,USA South,North America
Ashtead Group Plc,Industrials,Capital Goods,United Kingdom,Western Europe & Nordics
AspenTech Corporation,Information Technology,Software & Services,USA Boston,North America
"Beijing Byte Dance Telecommunications Co., Ltd.",Information Technology,Software & Services,China,APAC ex. Japan
CCC S.A.,Consumer Discretionary,Consumer Durables & Apparel,Poland,CEE
Championx Corporation,Energy,Oil and Gas Equipment and Services,USA South,North America
"Cheng Shin Rubber Ind., Co., Ltd.",Consumer Discretionary,Automobiles & Components,Taiwan,APAC ex. Japan
Commscope Holding,Information Technology,Technology Hardware & Equipment,USA South,North America
Cox Energy Solar S.A.,Utilities,Independent Power and Renewable Electricity Producers,Spain,Southern Europe
Dabur India Limited,Consumer Staples,Household & Personal Products,India,APAC ex. Japan
"Daechang Seat Co., Ltd.",Consumer Discretionary,Automobiles & Components,South Korea,APAC ex. Japan
Digital River Inc.,Information Technology,Software & Services,USA Midwest,North America
Fawaz Abdulaziz Al Hokair & Company,Consumer Discretionary,Retailing,Saudi Arabia,MEA
First Philippine Holdings Corporation,Utilities,Electric Utilities,Philippines,APAC ex. Japan
Galp Energia Sgps,Energy,Integrated Oil and Gas,Portugal,Southern Europe
"Gannett Co., Inc.",Communication Services,Media and Entertainment,USA South,North America
Gaslog Ltd.,Energy,Oil and Gas Storage and Transportation,Greece,Southern Europe
Gazprom,Energy,Integrated Oil and Gas,Russia,CEE
Gedeon Richter PLC,Healthcare,"Pharmaceuticals, Biotechnology & Life Sciences",Hungary,CEE
Glp Pte. Ltd.,Industrials,Real Estate,Singapore,APAC ex. Japan
"Hadiputranto, Hadinoto & Partners",Industrials,Commercial & Professional Services,Indonesia,APAC ex. Japan
Ihh Healthcare Berhad,Healthcare,Healthcare Equipment and Services,Malaysia,APAC ex. Japan
Intralot,Consumer Discretionary,Consumer Services,Greece,Southern Europe
K Line,Industrials,Transportation,Japan,Japan
Kiwirail Holdings Limited,Industrials,Transportation,New Zealand,APAC ex. Japan
Marcopolo S.A.,Industrials,Capital Goods,Brazil,Latin America
Meg Energy Corp.,Energy,Oil and Gas Exploration and Production,Canada,North America
Mineral Resources Limited,Materials,Metals and Mining,Australia,APAC ex. Japan
